                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.84154,                0.97339,                 1.2228,                0.60532,                 0.4359,                 0.4389,                0.32779,                    nan,                    nan,                    nan,              0.0009197,              0.0009197,              0.0009197
                     38,                0.84503,                0.89089,                 1.2252,                0.50612,                0.45163,                0.45214,                0.33724,                    nan,                    nan,                    nan,             0.00090556,             0.00090556,             0.00090556
                     39,                0.82395,                0.88502,                 1.1874,                0.71568,                0.40564,                 0.4914,                0.38863,                    nan,                    nan,                    nan,             0.00089141,             0.00089141,             0.00089141
                     40,                0.84024,                0.90572,                 1.1968,                0.53936,                0.39654,                0.43098,                0.31179,                    nan,                    nan,                    nan,             0.00087726,             0.00087726,             0.00087726
                     41,                0.82602,                0.84347,                  1.166,                 0.3517,                0.37265,                0.38946,                0.27898,                    nan,                    nan,                    nan,             0.00086312,             0.00086312,             0.00086312
                     42,                0.81078,                 0.8765,                 1.2209,                0.81177,                0.43003,                0.49677,                0.37145,                    nan,                    nan,                    nan,             0.00084897,             0.00084897,             0.00084897
                     43,                0.84305,                0.88645,                 1.2087,                0.78245,                 0.4359,                0.50785,                0.39922,                    nan,                    nan,                    nan,             0.00083482,             0.00083482,             0.00083482
                     44,                0.81251,                0.87024,                 1.2038,                 0.5594,                 0.4534,                 0.4587,                0.33889,                    nan,                    nan,                    nan,             0.00082067,             0.00082067,             0.00082067
                     45,                0.79226,                0.87847,                 1.1668,                0.64012,                0.41026,                0.48035,                0.36626,                    nan,                    nan,                    nan,             0.00080653,             0.00080653,             0.00080653
                     46,                0.82029,                0.94933,                 1.2042,                0.45015,                0.46388,                 0.4606,                0.34683,                    nan,                    nan,                    nan,             0.00079238,             0.00079238,             0.00079238
                     47,                0.77161,                0.82996,                 1.1787,                0.53965,                0.48335,                0.48837,                0.36851,                    nan,                    nan,                    nan,             0.00077823,             0.00077823,             0.00077823
                     48,                0.78481,                 0.8138,                 1.1989,                 0.8313,                 0.4359,                0.53629,                0.38528,                    nan,                    nan,                    nan,             0.00076409,             0.00076409,             0.00076409
                     49,                 0.7873,                  0.814,                 1.1625,                0.71867,                0.43932,                0.51002,                0.37449,                    nan,                    nan,                    nan,             0.00074994,             0.00074994,             0.00074994
